comment,45 degrees Down
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-47.0000,32.0000,48.0000,0.0139,-0.0088,0.9714
-39.0000,42.0000,76.0000,0.0200,-0.0044,0.9592
-44.0000,64.0000,62.0000,0.0188,-0.0090,0.9778
-30.0000,63.0000,42.0000,0.0166,-0.0024,0.9702
-29.0000,71.0000,8.0000,0.0176,-0.0078,0.9824
-52.0000,16.0000,66.0000,0.0154,-0.0073,0.9727
-44.0000,91.0000,69.0000,0.0166,-0.0073,0.9744
-30.0000,24.0000,67.0000,0.0134,-0.0024,0.9714
262.0000,27.0000,79.0000,0.0198,-0.0066,0.9685
177.0000,23.0000,77.0000,0.0298,-0.0090,0.9988
1150.0000,25.0000,83.0000,0.0154,0.0051,0.9915
1366.0000,45.0000,90.0000,0.0151,0.0127,0.9949
1924.0000,11.0000,53.0000,0.0081,0.0249,0.9851
3311.0000,7.0000,118.0000,0.0164,0.0452,1.0347
4175.0000,-27.0000,72.0000,0.0171,0.0769,0.9592
3943.0000,-10.0000,125.0000,0.0176,0.1016,0.9482
3739.0000,13.0000,132.0000,0.0120,0.1331,0.9382
3778.0000,14.0000,106.0000,0.0188,0.1682,0.9519
3268.0000,-8.0000,150.0000,0.0115,0.1941,0.9292
2837.0000,-28.0000,135.0000,0.0271,0.2207,0.9229
2386.0000,-7.0000,94.0000,0.0261,0.2354,0.9282
2551.0000,-20.0000,77.0000,0.0195,0.2505,0.9524
2830.0000,-16.0000,82.0000,0.0222,0.2764,0.9646
3022.0000,-27.0000,54.0000,0.0293,0.3093,0.8948
3316.0000,-74.0000,50.0000,0.0056,0.3181,0.8882
2779.0000,-19.0000,50.0000,0.0291,0.3396,0.9114
2916.0000,-25.0000,89.0000,0.0210,0.3689,0.8889
3146.0000,35.0000,182.0000,0.0359,0.3865,0.9180
3004.0000,-28.0000,126.0000,0.0183,0.4214,0.8684
2806.0000,8.0000,135.0000,0.0217,0.4258,0.8442
2585.0000,-40.0000,137.0000,0.0276,0.4500,0.8127
2056.0000,-27.0000,117.0000,0.0110,0.4697,0.8264
1966.0000,2.0000,91.0000,0.0237,0.4739,0.8298
2046.0000,17.0000,115.0000,0.0217,0.5002,0.8037
1807.0000,11.0000,86.0000,0.0210,0.5073,0.7937
1598.0000,-26.0000,108.0000,0.0244,0.5303,0.8315
1470.0000,16.0000,96.0000,0.0166,0.5266,0.7854
1229.0000,254.0000,90.0000,0.0239,0.5408,0.7739
552.0000,42.0000,172.0000,0.0254,0.5415,0.7957
869.0000,-53.0000,87.0000,0.0186,0.5579,0.7480
557.0000,-35.0000,76.0000,0.0320,0.5505,0.8196
730.0000,22.0000,96.0000,0.0239,0.5642,0.7571
868.0000,12.0000,73.0000,0.0244,0.5469,0.7815
851.0000,18.0000,98.0000,0.0325,0.5713,0.7629
698.0000,10.0000,110.0000,0.0271,0.5718,0.7615
342.0000,21.0000,101.0000,0.0317,0.5742,0.7617
354.0000,9.0000,84.0000,0.0237,0.5920,0.7671
533.0000,-6.0000,98.0000,0.0261,0.5745,0.7764
599.0000,22.0000,93.0000,0.0288,0.5850,0.7632
553.0000,23.0000,118.0000,0.0259,0.5959,0.7256
348.0000,18.0000,75.0000,0.0259,0.6086,0.7549
205.0000,32.0000,68.0000,0.0225,0.5935,0.7415
91.0000,25.0000,64.0000,0.0291,0.5923,0.7456
-27.0000,26.0000,53.0000,0.0249,0.5974,0.7380
-105.0000,25.0000,95.0000,0.0242,0.5925,0.7451
-180.0000,33.0000,66.0000,0.0225,0.6006,0.7576
-105.0000,21.0000,53.0000,0.0222,0.5979,0.7483
54.0000,16.0000,39.0000,0.0264,0.6013,0.7583
86.0000,13.0000,106.0000,0.0283,0.6001,0.7361
-178.0000,12.0000,85.0000,0.0227,0.5981,0.7461
-189.0000,12.0000,89.0000,0.0327,0.6003,0.7754
-54.0000,-3.0000,87.0000,0.0291,0.5791,0.7412
-148.0000,11.0000,25.0000,0.0259,0.6089,0.7529
-463.0000,28.0000,46.0000,0.0273,0.5833,0.7415
-598.0000,27.0000,63.0000,0.0295,0.5942,0.7366
-1007.0000,30.0000,118.0000,0.0256,0.5811,0.7600
-1259.0000,26.0000,66.0000,0.0342,0.5857,0.7417
-1601.0000,51.0000,48.0000,0.0237,0.5713,0.7620
-1572.0000,34.0000,49.0000,0.0215,0.5581,0.7698
-1818.0000,39.0000,15.0000,0.0249,0.5525,0.7922
-1968.0000,33.0000,66.0000,0.0244,0.5381,0.7703
-1992.0000,33.0000,22.0000,0.0239,0.5229,0.7932
-2309.0000,47.0000,32.0000,0.0212,0.5168,0.7966
-2735.0000,25.0000,72.0000,0.0173,0.4990,0.7886
-3124.0000,78.0000,40.0000,0.0278,0.4790,0.8069
-3191.0000,83.0000,32.0000,0.0205,0.4614,0.8442
-3158.0000,77.0000,17.0000,0.0188,0.4377,0.8728
-2957.0000,23.0000,37.0000,0.0188,0.4226,0.8669
-2860.0000,43.0000,7.0000,0.0288,0.3972,0.8811
-3060.0000,44.0000,28.0000,0.0227,0.3767,0.8752
-3439.0000,81.0000,-26.0000,0.0232,0.3455,0.8865
-3732.0000,86.0000,-21.0000,0.0278,0.3218,0.8904
-3985.0000,78.0000,36.0000,0.0266,0.2915,0.9036
-4536.0000,72.0000,16.0000,0.0208,0.2542,0.9270
-4337.0000,41.0000,-39.0000,0.0227,0.2278,0.9521
-4219.0000,44.0000,-25.0000,0.0122,0.1877,0.9727
-3207.0000,23.0000,-248.0000,0.0286,0.1655,0.9731
-2783.0000,61.0000,51.0000,0.0159,0.1484,0.9622
-2887.0000,20.0000,22.0000,0.0176,0.1348,0.9521
-2960.0000,32.0000,-233.0000,0.0181,0.1023,1.0007
-2094.0000,24.0000,6.0000,0.0166,0.0859,0.9814
-1848.0000,28.0000,25.0000,0.0176,0.0681,0.9719
-1913.0000,32.0000,56.0000,0.0178,0.0571,0.9780
-1816.0000,121.0000,46.0000,0.0237,0.0461,0.9624
-1677.0000,52.0000,61.0000,0.0266,0.0366,0.9849
-1669.0000,-38.0000,66.0000,0.0286,0.0190,0.9680
-1772.0000,6.0000,25.0000,0.0259,0.0100,0.9780
-910.0000,-252.0000,52.0000,0.0168,-0.0181,1.0925
-212.0000,13.0000,97.0000,0.0283,0.0073,0.9683
-315.0000,14.0000,85.0000,0.0137,-0.0110,0.9736
-507.0000,9.0000,30.0000,0.0159,-0.0020,0.9670
-101.0000,-13.0000,62.0000,0.0151,0.0022,0.9468
-105.0000,-41.0000,87.0000,0.0176,-0.0081,0.9731
-68.0000,-6.0000,83.0000,0.0254,-0.0029,0.9792
-69.0000,-14.0000,91.0000,0.0173,-0.0017,0.9812
-89.0000,30.0000,68.0000,0.0042,-0.0120,0.9636
-88.0000,-9.0000,43.0000,0.0256,-0.0078,0.9734
-75.0000,-5.0000,65.0000,0.0178,-0.0283,0.9775
-82.0000,11.0000,83.0000,0.0190,-0.0127,0.9800
-33.0000,71.0000,71.0000,0.0220,-0.0027,0.9692
-40.0000,63.0000,57.0000,0.0193,-0.0107,0.9712
-57.0000,44.0000,67.0000,0.0171,-0.0007,0.9832
-65.0000,255.0000,61.0000,0.0205,-0.0083,0.9795
-79.0000,27.0000,62.0000,0.0237,-0.0156,0.9771
-67.0000,24.0000,58.0000,0.0168,-0.0020,0.9771
-87.0000,29.0000,64.0000,0.0215,-0.0059,0.9705
-77.0000,25.0000,82.0000,0.0181,-0.0090,0.9749
-80.0000,58.0000,43.0000,0.0073,-0.0054,0.9717
-71.0000,-252.0000,77.0000,0.0178,-0.0093,0.9614
-60.0000,1.0000,44.0000,0.0295,-0.0039,0.9780
-60.0000,31.0000,58.0000,0.0215,-0.0051,0.9702
